Player,Position,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills
Abbedagge,MID,10,80%,6.5,2.8,1.5,6.9,8.4,397,63.50%,22,426,1.12,0.48,0.19,0.22,401,8,454,10.00%,0%,0,4
Ablazeolive,MID,10,30%,2.3,3.9,3.1,3.3,8.1,389,64.60%,24.8,483,1.1,0.43,0.24,0.22,168,1,53,10%,20%,0,-
Akaadian,JUNGLE,3,0%,1,1,4.3,3.3,6.4,318,67.20%,20.6,260,1.13,0.23,0.34,0.22,-195,0,-123,0%,33%,0,-
Alphari,TOP,1,0%,3.7,2,3,9,8.8,369,64.70%,15.4,430,1.15,0.54,0.31,0.2,-190,9,224,0%,0.00%,0,-
Aphromoo,SUPPORT,10,30%,2.9,0.3,2.8,7.9,1.1,219,73.10%,7,111,2.55,1.34,0.4,0.44,135,1,198,30%,0%,0,-
Armao,JUNGLE,1,100%,13,1,1,12,6,330,68.40%,12.1,347,1.33,0.31,0.25,0.25,-64,17,921,100%,0%,0,-
Blaber,JUNGLE,10,50%,3.2,2.7,2.7,5.9,6.3,353,68.10%,18.9,365,1.46,0.35,0.31,0.29,101,10,488,60%,0%,0,3
Broxah,JUNGLE,10,40%,5,2.5,2,7.5,5.6,332,79.10%,18.3,316,1.38,0.41,0.33,0.31,-158,-9,-280,50%,0%,0,-
Chime,SUPPORT,10,30%,2,0.5,3.9,7.2,1.2,215,68.80%,6.6,122,2.65,1.47,0.43,0.47,-386,5,-270,20%,10%,0,-
Closer,JUNGLE,10,80%,6,3.6,1.7,6.6,6.4,375,63.40%,18,359,1.3,0.35,0.26,0.24,188,8,345,30%,0%,0,1
CoreJJ,SUPPORT,10,60%,5,0.6,2.1,9.8,1.2,230,70.60%,5.7,133,2.84,1.34,0.47,0.36,-30,0,-23,20%,10%,0,-
Danny,SUPPORT,2,100%,15.5,3.5,1,12,1,346,75.10%,19.5,455,2.76,1.39,0.48,0.48,1653,-12,860,0%,0%,0,-
Danny,ADC,8,25.00%,2.6,3.8,3.1,4.3,9.2,410,55.10%,29.9,597,1.32,0.41,0.36,0.15,-242,-6,-66,37.50%,0%,0,1
Dardoch,JUNGLE,7,42.90%,3.8,4,3,7.3,6.1,351,83.70%,21.4,383,1.29,0.35,0.35,0.25,414,-4,7,57%,14%,0,-
Destiny,SUPPORT,10,60%,4.7,0.6,2.2,9.7,1,233,79.20%,6.9,125,2.75,1.53,0.36,0.42,22,0,73,20%,0%,0,-
Dreams,SUPPORT,9,33.30%,1.9,0.6,3.4,6,0.9,217,56.30%,6.6,112,2.14,1.26,0.27,0.43,-298,-3,-184,33.30%,11.10%,0,-
Dreams,ADC,1,0%,0.3,1,4,0,5.9,284,33.30%,8.9,143,0.46,0.31,0,0.31,-70,-13,-421,0%,100%,0,-
FBI,ADC,9,78%,7.2,4.4,1.6,6.8,9.3,450,69%,30.1,582,1.01,0.43,0.25,0.13,258,12,327,33%,11%,0,1
FBI,SUPPORT,1,100%,-,2,0,8,0.8,339,71.40%,18.5,385,2.26,1.07,0.47,0.18,1059,-20,149,0%,0%,0,-
FakeGod,TOP,10,30%,2.2,1.7,2.5,3.7,7.7,355,46.70%,23.6,373,1.28,0.45,0.23,0.21,-242,-8,-185,30%,20%,0,1
Finn,TOP,10,40%,3.2,3.2,2.9,6,7.4,386,76.20%,26.8,492,1.32,0.5,0.18,0.19,96,-2,279,50%,10%,0,2
Fudge,TOP,10,50%,3.3,2.8,2.4,5,8.2,389,63.90%,21.3,396,1.07,0.44,0.16,0.18,221,8,381,50%,20%,0,4
Huhi,SUPPORT,9,78%,5.3,1.2,1.8,8.2,1.4,251,58.70%,7.4,153,3.09,1.5,0.54,0.47,215,3,311,44%,11%,0,-
Huhi,ADC,1,100%,1.5,0,2,3,8.4,371,21.40%,19.1,397,0.97,0.5,0.11,0.14,517,-4,332,0%,0%,0,-
Huni,TOP,10,80%,2.9,2.9,3.2,6.4,7.9,393,70.10%,26.9,525,1.19,0.52,0.17,0.23,282,3,-127,40%,30%,0,7
Iconic,JUNGLE,10,30%,2.2,1.7,3.3,5.5,6.2,335,73%,20.1,357,1.09,0.3,0.29,0.26,-46,1,0,20%,20%,0,1
IgNar,ADC,2,100%,30,2,0.5,13,5.8,358,72.50%,9.5,218,0.98,0.55,0.18,0.3,323,-31,-318,0%,0%,0,-
IgNar,SUPPORT,8,25%,2.5,0.6,3.3,7.5,1.1,211,56.40%,5.5,115,2.96,1.81,0.39,0.54,44,-1,-14,25%,0%,0,-
Impact,TOP,10,40%,2.7,3.1,3.5,6.5,7.2,359,67.20%,22.1,444,1.01,0.47,0.19,0.17,64,2,102,30%,0%,0,5
Insanity,MID,9,67%,5.1,2.3,1.9,7.3,8.4,396,76.30%,21.5,379,1.42,0.62,0.17,0.28,176,0,173,11%,11%,0,-
Jenkins,TOP,9,67%,3.3,2.9,2.6,5.6,7.7,389,61.10%,22.7,535,1.29,0.53,0.2,0.3,-168,-2,-278,44%,0%,0,5
